Fuel,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Coal,4115215,4092597,3771394,3711059,3239754,2911964,2730411,2656708,2302493,1980272,1722559,1520112,1282698,1129269,1060372,963066,883052,867356,823117,743326,694231,616255,565793,498108,441343
Oil,9517,10013,10937,12130,14856,12124,18809,28094,37917,50513,65534,54825,50704,48517,47268,50261,53392,47115,50351,55094,48199,65454,53210,51923,50366
Gas,114505,106623,98776,95935,78063,57188,34566,33907,23819,12142,7460,5155,4194,4934,5773,4813,6092,8077,2828,2999,3154,3124,2467,2429,2771
Biofuels,44437,37000,30000,27500,24750,20700,14715,9740,7000,5200,2412,2421,2430,2438,2421,2404,2364,2606,1417,2897,343,0,0,0,0
Waste,12956,12303,10967,10769,9063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,132538,111613,97394,86350,73880,70134,68394,62130,54843,53088,50469,43342,25127,17472,16737,14949,14100,14418,14338,12833,14756,1604,0,0,0
Hydro,1064337,920291,872107,698945,722172,615640,585187,485264,435786,397017,353544,283681,287974,277432,222414,203807,208000,195983,187966,190577,167400,151819,132470,125090,126720
Geothermal,125,125,125,125,125,125,144,116,126,115,109,109,109,109,109,109,109,109,109,110,110,110,106,57,57
Solar PV,29195,15451,6350,2604,699,279,152,114,95,84,76,64,48,31,22,17,14,11,9,7,5,4,3,2,2
Solar thermal,34,26,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,156078,141197,95978,70331,44622,26900,14800,5710,3868,2028,1332,1039,873,749,615,494,370,206,98,64,40,22,14,9,2
Tide,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
