Fuel,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Coal,1712577,1712408,1643430,1875413,1994194,1892661,2132596,2118455,2127796,2153956,2090495,2083326,2039665,1982120,2129498,2018814,2006310,1976005,1925010,1832537,1812771,1811132,1741276,1712108,1699648
Oil,39877,36858,33070,39524,48086,50445,57776,78136,78621,141290,139089,137015,106138,129557,118482,135722,147099,108319,96741,87189,120517,126859,106509,127079,130649
Gas,1161333,1158454,1264552,1045254,1017869,949776,910176,915196,842774,782829,731552,670192,712432,659914,634290,581933,558449,505647,478765,528844,492096,441000,426908,402230,381669
Biofuels,62357,58519,55459,53703,52436,49850,50134,49543,49106,48453,47187,46713,46623,42235,47816,43904,42177,43171,44058,43876,45129,44133,42833,35707,71039
Waste,19412,19652,20397,20606,20170,22441,22331,22110,22908,22762,23853,22819,23386,22312,23897,22333,20973,20480,20472,19041,17839,16381,21896,20062,15323
Nuclear,830584,822004,801129,821405,838931,830210,837804,836634,816195,810726,813339,787818,804519,792604,797718,771811,714124,666363,715212,713806,678920,646987,655970,649399,611589
Hydro,281527,290113,298287,344561,286333,298410,281995,275545,317689,297926,297894,305724,291755,214728,279986,301793,322080,358685,376702,337856,284373,303060,274883,309155,288960
Geothermal,18710,18422,18135,17840,17577,17046,16873,16798,16581,16778,15487,14870,14939,14246,14621,15717,15369,14907,15746,14941,17479,17774,17168,16267,16012
Solar PV,21915,14858,9186,5322,3063,1699,1214,1001,737,524,378,300,261,220,183,162,3,4,3,4,4,4,3,3,3
Solar thermal,2688,1014,959,893,879,816,878,673,550,596,587,548,569,565,526,527,887,893,903,824,824,897,746,779,663
Wind,183892,169713,141922,120854,95148,74226,55696,34603,26676,17881,14291,11300,10459,6806,5650,4802,3018,3254,3410,3196,3483,3053,2917,3051,3066
Tide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,4338,4356,4134,4088,3744,635,788,1147,1198,647,704,1139,374,0,0,0,0,0,0,0,0,0,0,0,0
