Fuel,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Coal,8658,-16505,14829,5242,10412,17103,21057,17790,4123,6528,8041,384,10411,12032,26864,4209,11027,11895,8088,7355,10666,14013,938,-1321
Oil,-4023,250,4537,-2304,-876,4460,-9831,1390,-2200,-3488,-2143,20,-4079,1101,20515,-491,-26457,-387,-878,1899,5492,-422,8128,8325
Gas,-14377,32898,-3780,12533,32906,-11054,-1028,9704,10502,2755,16907,718,8159,4154,-207,2511,-4666,4773,7543,1080,3939,2301,2252,331
Biofuels,352,145,-28,198,279,22,126,169,35,-12,47,6,68,-3,-14,15,-21,-326,153,250,0,0,0,0
Waste,42,-46,53,334,113,26,-32,57,18,-62,74,10,53,20,10,23,1,2,0,0,0,0,0,0
Nuclear,17623,-11543,-4396,6127,825,-3187,8021,-5812,1970,16064,1043,10569,6970,3169,5900,13375,12603,3162,6895,8378,513,1608,219,3424
Hydro,-574,742,-179,1359,831,78,521,-177,30,-691,-1023,1592,-661,362,-456,-33,696,202,-277,1380,-1908,1143,-188,-1310
Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,952,502,186,145,206,281,215,39,16,5,2,1,1,1,0,1,1,0,1,0,0,0,1,0
Wind,-3,232,54,46,132,249,60,137,109,83,22,10,2,-4,11,4,1,1,0,-1,0,1,0,0
Tide,8,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,279,219,56,98,176,98,3,-2,28,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
